app	product_id	type	price_usd	reward_qty	reward_unit	duration	notes
FruitSort	season_pass_monthly	subscription	1.99		subscription	P1M	
GPACalculator	remove_ads	non_consumable	2.99		ads_off	forever	
GPACalculator	coins_small	consumable	0.99	100	coins		
GPACalculator	coins_large	consumable	2.99	500	coins		
GPACalculator	five_lives	consumable	0.99	5	lives		
GPACalculator	unlimited_lives_1h	consumable	0.99	inf	lives	1h	
GPACalculator	unlimited_lives_forever	non_consumable	4.99	inf	lives	forever	
GPACalculator	hint_pack	consumable	1.99	10	hints		
GPACalculator	starter_pack	consumable	0.99	bundle	coins+lives+hints		
GPACalculator	season_pass_monthly	subscription	1.99		subscription	P1M	
GeneralQuiz	remove_ads	non_consumable	2.99		ads_off	forever	
GeneralQuiz	coins_small	consumable	0.99	100	coins		
